Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
326,ZINC000000001965_docked,N/A,-5.910,ZINC000000001965_docked.dlg,True
327,ZINC000000001785_docked,N/A,-5.890,ZINC000000001785_docked.dlg,True
328,ZINC000000001852_docked,N/A,-5.880,ZINC000000001852_docked.dlg,True
329,ZINC000000004107_docked,N/A,-5.880,ZINC000000004107_docked.dlg,True
330,ZINC000000006650_docked,N/A,-5.830,ZINC000000006650_docked.dlg,True
331,ZINC000000004841_docked,N/A,-5.820,ZINC000000004841_docked.dlg,True
332,ZINC000000002126_docked,N/A,-5.820,ZINC000000002126_docked.dlg,True
333,ZINC000000004568_docked,N/A,-5.800,ZINC000000004568_docked.dlg,True
334,ZINC000000001876_docked,N/A,-5.800,ZINC000000001876_docked.dlg,True
335,ZINC000000006274_docked,N/A,-5.790,ZINC000000006274_docked.dlg,True
336,ZINC000000003595_docked,N/A,-5.790,ZINC000000003595_docked.dlg,True
337,ZINC000000001506_docked,N/A,-5.780,ZINC000000001506_docked.dlg,True
338,ZINC000000002116_docked,N/A,-5.780,ZINC000000002116_docked.dlg,True
339,ZINC000000005563_docked,N/A,-5.780,ZINC000000005563_docked.dlg,True
340,ZINC000000008935_docked,N/A,-5.740,ZINC000000008935_docked.dlg,True
341,ZINC000000000603_docked,N/A,-5.740,ZINC000000000603_docked.dlg,True
342,ZINC000000000562_docked,N/A,-5.730,ZINC000000000562_docked.dlg,True
343,ZINC000000004317_docked,N/A,-5.730,ZINC000000004317_docked.dlg,True
344,ZINC000000002202_docked,N/A,-5.690,ZINC000000002202_docked.dlg,True
345,ZINC000000005885_docked,N/A,-5.680,ZINC000000005885_docked.dlg,True
346,ZINC000000002437_docked,N/A,-5.680,ZINC000000002437_docked.dlg,True
347,ZINC000000003742_docked,N/A,-5.680,ZINC000000003742_docked.dlg,True
348,ZINC000000008074_docked,N/A,-5.650,ZINC000000008074_docked.dlg,True
349,ZINC000000002542_docked,N/A,-5.650,ZINC000000002542_docked.dlg,True
350,ZINC000000002255_docked,N/A,-5.580,ZINC000000002255_docked.dlg,True
351,ZINC000000006995_docked,N/A,-5.580,ZINC000000006995_docked.dlg,True
352,ZINC000000003690_docked,N/A,-5.560,ZINC000000003690_docked.dlg,True
353,ZINC000000002757_docked,N/A,-5.550,ZINC000000002757_docked.dlg,True
354,ZINC000000004996_docked,N/A,-5.540,ZINC000000004996_docked.dlg,False
355,ZINC000000002209_docked,N/A,-5.530,ZINC000000002209_docked.dlg,True
356,ZINC000000001043_docked,N/A,-5.530,ZINC000000001043_docked.dlg,True
