Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
118,ZINC000751971631_docked,CS(=O)(=O)c1cc(S(=O)(=O)N2CCC[C@@H]2[C@@H](C#N)c2ccccc2)ccc1F,-10.38,ZINC000751971631_docked.dlg,TRUE
119,ZINC000926324718_docked,C[C@@H](NC(=O)NCCc1ccccc1S(C)(=O)=O)[C@@H](O)c1cccc(F)c1,-10.38,ZINC000926324718_docked.dlg,FALSE
120,ZINC000513829617_docked,CS(=O)(=O)c1ccc(C(=O)N2CCC[C@H]2[C@@H](C#N)c2ccccc2)cc1[N+](=O)[O-],-10.38,ZINC000513829617_docked.dlg,TRUE
121,ZINC000412630170_docked,CS(=O)(=O)c1ccccc1CNC(=O)C1(c2cc(F)cc(C#N)c2)CC1,-10.38,ZINC000412630170_docked.dlg,TRUE
122,ZINC000576542775_docked,CCCCN(C(=O)c1ccc(S(C)(=O)=O)c(Br)c1)[C@H]1CCC[C@H](C)C1,-10.38,ZINC000576542775_docked.dlg,TRUE
123,ZINC000810920397_docked,Cc1ccc(C)c(S(=O)(=O)NCC(=O)N[C@H](C)[C@H](O)c2cccc(F)c2)c1,-10.38,ZINC000810920397_docked.dlg,FALSE
124,ZINC000751971633_docked,CS(=O)(=O)c1cc(S(=O)(=O)N2CCC[C@H]2[C@@H](C#N)c2ccccc2)ccc1F,-10.37,ZINC000751971633_docked.dlg,TRUE
125,ZINC000769871514_docked,C[C@H]1C[C@H](C)CN(C(=O)COC(=O)c2ccc(S(C)(=O)=O)c(Br)c2)C1,-10.37,ZINC000769871514_docked.dlg,TRUE
126,ZINC000440936038_docked,N#Cc1ccccc1COc1cccc(C(=O)N2CCS(=O)(=O)C3(CCCCC3)C2)c1,-10.37,ZINC000440936038_docked.dlg,TRUE
127,ZINC000428411126_docked,Cc1ccc(C#N)cc1S(=O)(=O)NC[C@]1(Cc2ccc(F)cc2)CCC[C@@H]1O,-10.37,ZINC000428411126_docked.dlg,TRUE
128,ZINC001189193044_docked,CS(=O)(=O)c1ccc(CNS(=O)(=O)Cc2cc(F)ccc2Cl)cc1Cl,-10.37,ZINC001189193044_docked.dlg,FALSE
129,ZINC000802762564_docked,CS(=O)(=O)c1ccccc1NNC(=O)C1(c2cc(F)cc(C#N)c2)CC1,-10.37,ZINC000802762564_docked.dlg,FALSE
130,ZINC000772719531_docked,N#Cc1ccc(Cl)c(S(=O)(=O)N2CCC([C@H](O)c3ccc(F)cc3)CC2)c1,-10.37,ZINC000772719531_docked.dlg,TRUE
131,ZINC000831412297_docked,Cc1cc(C)cc([C@H](O)CNS(=O)(=O)Cc2ccc(F)cc2C#N)c1,-10.36,ZINC000831412297_docked.dlg,FALSE
132,ZINC001211973599_docked,N#Cc1cc(F)ccc1S(=O)(=O)NC[C@H]1CCC[C@H]1c1ccccc1,-10.36,ZINC001211973599_docked.dlg,FALSE
133,ZINC000775091076_docked,CS(=O)(=O)c1ccc(S(=O)(=O)N(c2ccccc2)[C@H]2C=CS(=O)(=O)C2)cc1F,-10.35,ZINC000775091076_docked.dlg,TRUE
134,ZINC000803921708_docked,CS(=O)(=O)c1cccc(C(=O)COC(=O)C2(c3cc(F)cc(C#N)c3)CC2)c1,-10.35,ZINC000803921708_docked.dlg,FALSE
135,ZINC000679335710_docked,CS(=O)(=O)c1cccc([C@H](NCCN2Cc3ccccc3C2)c2ccc(F)cc2F)c1,-10.35,ZINC000679335710_docked.dlg,TRUE
136,ZINC000159246096_docked,Cc1ccc(C#N)cc1S(=O)(=O)NCC1([C@H](O)c2ccccc2)CC1,-10.35,ZINC000159246096_docked.dlg,TRUE
137,ZINC000732668992_docked,Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)N2CCN(C3CC3)[C@H](C#N)C2)c1,-10.35,ZINC000732668992_docked.dlg,TRUE
138,ZINC000495171133_docked,CS(=O)(=O)c1cccnc1CNC(=O)NCc1ccccc1Oc1ccccc1,-10.35,ZINC000495171133_docked.dlg,TRUE
139,ZINC000412634758_docked,CC(C)(C(=O)NCc1ccccc1S(C)(=O)=O)c1cc(F)cc(C#N)c1,-10.35,ZINC000412634758_docked.dlg,TRUE
140,ZINC000796102465_docked,Cc1ccc([C@@H](O)[C@@H](C)NS(=O)(=O)c2ccc(F)c(S(C)(=O)=O)c2)cc1,-10.35,ZINC000796102465_docked.dlg,FALSE
141,ZINC000804485153_docked,Cc1ccc([C@H](O)[C@H](C)NC(=O)c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)cc1,-10.34,ZINC000804485153_docked.dlg,FALSE
142,ZINC000413190370_docked,CS(=O)(=O)c1ccccc1CNC(=O)N[C@@H]1C[C@@H]1c1cccc(F)c1,-10.34,ZINC000413190370_docked.dlg,TRUE
143,ZINC000580517251_docked,CS(=O)(=O)[C@@H]1CCC[C@H](NS(=O)(=O)Cc2ccc(F)cc2C#N)C1,-10.34,ZINC000580517251_docked.dlg,TRUE
144,ZINC000542249309_docked,Cc1cc(C)cc([C@@H]2CCN(S(=O)(=O)c3ccc(F)cc3C#N)C2)c1,-10.34,ZINC000542249309_docked.dlg,TRUE
145,ZINC001213360148_docked,C[C@H]1CN(Cc2ccccc2)C[C@H]1CNS(=O)(=O)c1ccc(F)cc1C#N,-10.34,ZINC001213360148_docked.dlg,FALSE
146,ZINC000578656755_docked,CS(=O)(=O)c1ccccc1NC(=O)N[C@@H]1C[C@@H]1c1cccc(F)c1,-10.34,ZINC000578656755_docked.dlg,TRUE
147,ZINC000614086291_docked,CN(C)C(=O)c1cccc(Oc2ccc(S(C)(=O)=O)cc2S(C)(=O)=O)c1,-10.33,ZINC000614086291_docked.dlg,TRUE
